anldt,anlrst,obsrvtcd,obsrvtnm,ugrwtrl,,¿¬¿ù,Æò±Õ,¿¬µµ,Æò±Õ2
20200120,0,11749,µ¿ÇØ±Í¿î,7.489,,,,,
20200121,0,11749,µ¿ÇØ±Í¿î,7.458,,,,,
20200122,0,11749,µ¿ÇØ±Í¿î,7.505,,,,,
20200123,0,11749,µ¿ÇØ±Í¿î,7.426,,,,,
20200124,0,11749,µ¿ÇØ±Í¿î,7.256,,,,,
20200125,0,11749,µ¿ÇØ±Í¿î,7.149,,,,,
20200126,0,11749,µ¿ÇØ±Í¿î,7.079,,,,,
20200127,0,11749,µ¿ÇØ±Í¿î,7.038,,,,,
20200128,0,11749,µ¿ÇØ±Í¿î,7.079,,,,,
20200129,0,11749,µ¿ÇØ±Í¿î,7.566,,,,,
20200130,0,11749,µ¿ÇØ±Í¿î,7.692,,,,,
20200131,0,11749,µ¿ÇØ±Í¿î,7.742,,,,,
20200201,0,11749,µ¿ÇØ±Í¿î,7.725,,,,,
20200202,0,11749,µ¿ÇØ±Í¿î,7.725,,,,,
20200203,0,11749,µ¿ÇØ±Í¿î,7.725,,,,,
20200204,0,11749,µ¿ÇØ±Í¿î,7.708,,,,,
20200205,0,11749,µ¿ÇØ±Í¿î,7.692,,,,,
20200206,0,11749,µ¿ÇØ±Í¿î,7.676,,,,,
20200207,0,11749,µ¿ÇØ±Í¿î,7.676,,,,,
20200208,0,11749,µ¿ÇØ±Í¿î,7.659,,,,,
20200209,0,11749,µ¿ÇØ±Í¿î,7.659,,,,,
20200210,0,11749,µ¿ÇØ±Í¿î,7.644,,,,,
20200211,0,11749,µ¿ÇØ±Í¿î,7.612,,,,,
20200212,0,11749,µ¿ÇØ±Í¿î,7.612,,,,,
20200213,0,11749,µ¿ÇØ±Í¿î,7.612,,,,,
20200214,0,11749,µ¿ÇØ±Í¿î,7.612,,,,,
20200219,0,11749,µ¿ÇØ±Í¿î,7.116,,,,,
20200220,0,11749,µ¿ÇØ±Í¿î,7.116,,,,,
20200221,0,11749,µ¿ÇØ±Í¿î,7.149,,,,,
20200222,0,11749,µ¿ÇØ±Í¿î,7.149,,,,,
20200223,0,11749,µ¿ÇØ±Í¿î,7.116,,,,,
20200224,0,11749,µ¿ÇØ±Í¿î,7.116,,,,,
20200226,0,11749,µ¿ÇØ±Í¿î,7.179,,,,,
20200227,0,11749,µ¿ÇØ±Í¿î,7.375,,,,,
20200228,0,11749,µ¿ÇØ±Í¿î,7.409,,,,,
20200229,0,11749,µ¿ÇØ±Í¿î,7.426,,,,,
20200301,0,11749,µ¿ÇØ±Í¿î,7.409,,,,,
20200302,0,11749,µ¿ÇØ±Í¿î,7.375,,,,,
20200303,0,11749,µ¿ÇØ±Í¿î,7.338,,,,,
20200304,0,11749,µ¿ÇØ±Í¿î,7.319,,,,,
20200305,0,11749,µ¿ÇØ±Í¿î,7.299,,,,,
20200306,0,11749,µ¿ÇØ±Í¿î,7.256,,,,,
20200307,0,11749,µ¿ÇØ±Í¿î,7.232,,,,,
20200308,0,11749,µ¿ÇØ±Í¿î,7.232,,,,,
20200309,0,11749,µ¿ÇØ±Í¿î,7.179,,,,,
20200310,0,11749,µ¿ÇØ±Í¿î,7.179,,,,,
20200311,0,11749,µ¿ÇØ±Í¿î,7.442,,,,,
20200312,0,11749,µ¿ÇØ±Í¿î,7.357,,,,,
20200313,0,11749,µ¿ÇØ±Í¿î,7.319,,,,,
20200314,0,11749,µ¿ÇØ±Í¿î,7.256,,,,,
20200315,0,11749,µ¿ÇØ±Í¿î,7.232,,,,,
20200316,0,11749,µ¿ÇØ±Í¿î,7.232,,,,,
