발생장소_시도,발생원인_기타
경기,팬션화재비화
전북,입산자실화
경기,담뱃불실화
울산,성묘객담뱃불실화
경기,쓰레기소각
경기,미상
경기,담뱃불실화
경기,담뱃불실화
충남,입산자실화
경기,쓰레기소각
경기,농산폐기물소각
경기,입산자실화
강원,입산자실화
인천,쓰레기소각
경기,입산자실화
경기,쓰레기소각
경기,담뱃불실화
경기,담뱃불실화
경북,입산자실화
충남,성묘객실화
충남,입산자실화
충남,입산자실화
경북,절단기불씨
인천,입산자실화(담뱃불)
경기,공장화재
경기,변압기추락
전남,담뱃불실화
경기,방화
울산,입산자실화
대구,입산자실화
강원,미상
경북,열선축열 추정
충남,"담뱃불실화추정(사:25.25, 국:5.88)"
경남,주택화재
경북,미상
충북,화목보일러재처리부주의 
전북,논두렁소각
경북,미상
경남,담뱃불실화
전남,입산자실화
경남,미상
경북,입산자실화
충남,향불발화
강원,아궁이재처리부주의
강원,입산자실화
전남,입산자실화
강원,미상
강원,주택화재
경남,방화
강원,입산자실화(담뱃불)
울산,과수원폐기물소각
경기,차량화재
대구,미상
경기,낙엽소각
전남,성묘객실화
서울,입산자실화
전남,성묘객실화
전북,성묘객실화
경기,성묘객실화
경기,쓰레기소각
전남,전압선누전
경남,화목보일러불씨부주의
경기,쓰레기소각
경북,양봉장불씨처리부주의
경기,담뱃불실화
경북,농산물쓰레기소각
강원,입산자실화
전남,어린이불장난추정
경북,쓰레기소각추정
경남,쓰레기소각
경북,입산자실화
경남,농산부산물소각
경북,묘지주변소각
강원,연탄재추정
전남,입산자실화
인천,농업부산물소각
경북,비닐하우스화재
경북,공사장용접
경남,담뱃불실화주정
대구,입산자실화
대구,입산자실화
경남,닭장전기누전
강원,미상
경남,미상
경남,건축물실화
경남,담뱃불실화추정
경북,자연발화
부산,미상
경남,담뱃불실화 추정
부산,미상
강원,전신주공사
경기,쓰레기소각
강원,입산자실화
대구,미상
경북,입산자실화
서울,입산자실화
강원,미상
경북,입산자실화
울산,과수원전기합선
경북,미상
경기,입산자실화
경북,미상
경북,미상
강원,입산자실화
경기,담뱃불실화
경남,쓰레기소각
경북,미상
경북,미상
경기,입산자실화
경남,화목보일러불씨부주의
강원,입산자실화
경북,건축물실화
경북,방화추정
부산,미상
경북,입산자실화
경기,담뱃불실화
경기,입산자실화
경북,방화
경북,방화
경기,입산자실화
경북,화목보일러재처리부주의 
경남,담뱃불실화
경남,입산자실화
경기,산업현장실화추정
경북,굴삭기과열추정
경기,입산자실화
경기,화목보일러재처리부주의 
경기,창고화재
경기,입산자실화
경기,야영장모닥불
경기,담뱃불실화
충남,건축물실화(주택화재비화)
경기,담뱃불실화
전남,성묘객실화(묘지주변부산물소각)
강원,입산자실화
충남,화목보일러재비화(양계장)
경기,담뱃불실화
경기,담뱃불실화
경북,미상
경북,건축물실화(주택화재)
부산,입산자실화
인천,담뱃불실화
경기,입산자실화
울산,쓰레기소각(종이박스류)
전북,입산자실화
경기,목재펠릿보일러재투기
경기,논밭두렁소각
